name,acidity,fizziness,intensity,sweetness,tannin,price_euros,rank,ratings_average
Pauillac (Premier Grand Cru Classé),4.0950465,,4.0601296,1.714406,4.116994,1038.63,3,4.7
Châteauneuf-du-Pape,3.0970612,,4.3464823,2.080589,2.7852674,3308.75,3,4.7
Veneto Alzero Cabernet,2.300103,,4.1231823,2.6875129,2.9364958,683.75,3,4.7
Madonna delle Grazie Brunello di Montalcino,3.8020136,,3.4241893,1.78457,3.6632488,1046.25,3,4.7
Pingus,3.801916,,3.970832,1.8904002,3.643772,2028.75,3,4.7
Lodovico,2.989398,,3.6530743,1.919053,2.9573863,683.75,3,4.6
Pomerol,3.3711822,,4.098032,1.801,3.4681149,576.25,3,4.6
Barolo Riserva,4.5947633,,3.7636836,1.5603285,4.283502,470.0,3,4.6
Valpolicella Superiore Monte Lodoletta,3.5089638,,3.4422984,2.3023562,2.86965,243.75,3,4.5
Brut Champagne,4.3640895,4.2735925,3.9627125,,,250.0,3,4.5
Ornato Barolo,4.6555104,,3.8188539,1.5658007,4.3928475,178.75,3,4.5
Amarone della Valpolicella Classico,2.213149,,4.8005404,3.3462367,2.2455263,51.9,3,4.4
Series M,3.6752222,,3.9073677,1.752683,3.2512286,58.0,3,4.4
Grand Vin Pauillac (Premier Grand Cru Classé),4.134296,,4.1281376,1.6716481,4.1408772,1323.75,4,4.7
Amarone della Valpolicella Monte Lodoletta,2.235851,,4.8174415,3.3512034,2.4933603,683.75,4,4.7
Veneto Alzero Cabernet,2.300103,,4.1231823,2.6875129,2.9364958,683.75,4,4.7
Bolgheri Superiore,3.4603708,,3.877706,1.788846,3.8922803,597.5,4,4.6
Pomerol,3.3711822,,4.098032,1.801,3.4681149,576.25,4,4.6
Barolo Riserva,4.5947633,,3.7636836,1.5603285,4.283502,470.0,4,4.6
Tignanello,3.082814,,3.4132028,1.7224381,2.9867094,820.0,4,4.5
Tenuta Nuova Brunello di Montalcino,3.820147,,3.3786674,1.7909194,3.598853,420.0,4,4.5
Vürsù Barolo Campè,4.5237427,,3.891842,1.683044,4.385903,232.5,4,4.5
Barolo Monprivato,4.551566,,3.528406,1.59358,4.265546,705.0,4,4.5
Pomerol,3.3711822,,4.098032,1.801,3.4681149,683.75,4,4.5
Tenuta Guado al Tasso Bolgheri Superiore,3.4173176,,3.9344313,1.733469,3.8648884,310.0,4,4.5
Pajè Barbaresco,4.6281357,,3.627583,1.5763191,4.1472893,331.25,4,4.5
Amarone della Valpolicella Classico,2.2436204,,4.763678,3.249773,2.2276826,49.8,4,4.4
Sauternes (Premier Grand Cru Classé),4.349971,,4.744758,4.8788157,,49.9,4,4.4
Vacqueyras,3.4521956,,3.8238244,1.9571805,3.1417801,250.0,4,4.4
Pauillac (Grand Cru Classé),4.201068,,4.22026,1.6716634,4.230456,597.5,5,4.7
Tenuta Tignanello 'Solaia',3.0641637,,3.4507132,1.8885487,2.9705827,705.0,5,4.7
Cristal Brut Champagne (Millésimé),4.416872,4.2817607,3.902971,,,1900.0,5,4.7
Cristal Brut Champagne (Millésimé),4.416872,4.2817607,3.902971,,,1900.0,5,4.7
Rosé,4.410962,4.1913204,3.881011,,,349.0,5,4.6
Lodovico,2.989398,,3.6530743,1.919053,2.9573863,425.0,5,4.6
Brunello di Montalcino Riserva Madonna del Piano,3.909161,,3.4256573,1.6784105,3.7303543,736.25,5,4.6
Pomerol,3.425362,,4.233659,1.6924726,3.5278409,762.0,5,4.6
